param:,tech:,inv,var,fix,f,capa,eff,em,yr,:=
,93,59026,0.00022,307.490162,20083.79,,,,,
,94,58076,0.00008,342.334726,20099.09,,,,,
,95,59983,0.00032,333.752402,20113.09,,,,,
,96,61605,0.00022,316.431636,20127.21,,,,,
,97,58520,0.007184,299.848974,20128.92,,,,,
,98,56528,0.007244,335.116602,20126.75,,,,,
,99,55405,0.007056,349.016401,20126.36,,,,,
,100,54680,0.007308,344.371416,20126.58,,,,,
,101,54741,0.007944,318.616222,20125.09,,,,,
,102,55382,0.005344,298.392129,20124.57,,,,,
,103,56700,0.03681,244.338585,20123.64,,,,,
,104,58054,0.080052,225.370194,20124.21,,,,,
,105,61668,14.018952,235.893472,20123.48,,,,,
,106,64867,59.981574,253.239303,20122.89,,,,,
,107,66665,130.440876,277.784586,20124.73,,,,,
,108,66780,244.355822,246.693095,20129.91,,,,,
,109,62745,320.599406,244.988963,20106.33,,,,,
,110,64735,380.035432,209.5191,20027.73,,,,,
,111,65464,425.377523,199.996531,20027.47,,,,,
,112,65012,327.409465,216.831332,20023.96,,,,,
,113,65741,103.555663,232.103217,20018.56,,,,,
,114,66901,5.26212,234.961996,20002.55,,,,,
,115,66655,0.057878,250.300651,19983.05,,,,,
,116,64271,0.050464,256.244291,20020.57,,,,,
,117,62212,0.007456,252.540178,20066.61,,,,,
,118,60542,0.005708,216.280313,20110.64,,,,,
,119,62061,0.00592,225.33833,20123,,,,,
,120,63588,0.004768,261.15381,20126.8,,,,,
,121,60410,0.00016,249.556602,20125.77,,,,,
,122,58245,0.00032,269.079106,20125.08,,,,,
,123,57131,0.00014,280.426727,20126.53,,,,,
,124,56566,0.00028,321.825027,20125.81,,,,,
,125,56445,0.00016,358.036997,20124.85,,,,,
,126,57035,0.00016,374.875638,20127.46,,,,,
,127,58361,0.047033,425.46808,20127.85,,,,,
,128,59729,0.659287,426.000998,20127.92,,,,,
,129,63382,67.968689,405.519278,20125.9,,,,,
,130,66341,268.828717,398.799526,20126.37,,,,,
,131,67697,489.269343,390.707926,20140.45,,,,,
,132,67855,591.154264,407.492654,20140.04,,,,,
,133,63897,578.62864,422.299843,20127.71,,,,,
,134,65725,516.120817,455.534511,20120.8,,,,,
,135,66525,418.297976,460.257796,20082.06,,,,,
,136,66135,234.026652,444.477432,20082.02,,,,,
,137,66538,68.30212,429.332877,20075.1,,,,,
,138,67194,2.311341,404.752307,20053.5,,,,,
,139,66855,0.061693,393.130126,20052.53,,,,,
,140,64737,0.061811,447.000076,20046.45,,,,,
,141,62761,0.00008,450.966937,20047.62,,,,,
,142,61240,0.00022,454.331841,20088.66,,,,,
,143,62660,0.00034,446.024656,20112.65,,,,,
,144,64295,0.00008,483.819325,20124.44,,,,,
,145,61040,0.00008,482.832415,20128.6,,,,,
,146,59173,0.00038,469.818206,20129.03,,,,,
,147,57993,0.00008,472.771567,20129.18,,,,,
,148,57265,0.00024,480.266777,20128.52,,,,,
,149,57183,0.00048,505.641779,20127.32,,,,,
,150,57648,0.00008,503.765575,20125.72,,,,,
,151,58542,0.034322,471.000205,20124.83,,,,,
,152,60120,0.74562,427.333962,20123.9,,,,,
,153,64034,55.174939,322.469662,20122.99,,,,,
,154,67049,242.137488,319.059376,20121.44,,,,,
,155,68273,435.029567,334.164939,20117.73,,,,,
,156,68222,553.062355,329.163349,20119.05,,,,,
,157,64038,604.8504,336.365785,20078.7,,,,,
,158,65966,572.954825,314.355161,20057.77,,,,,
,159,66611,461.956341,310.231824,20076.15,,,,,
,160,66236,288.482592,332.546609,20052.88,,,,,
,161,66698,85.646967,339.399687,20016.02,,,,,
,162,67830,4.165189,353.342631,20020.18,,,,,
,163,67845,0.055728,369.273412,20055.78,,,,,
,164,65865,0.050941,410.483431,20070.52,,,,,
,165,63578,0.00034,426.879227,20107.41,,,,,
,166,61827,0,436.674925,20125.15,,,,,
,167,63260,0.00016,398.567123,20125.88,,,,,
,168,64950,0.00008,373.90708,20125.05,,,,,
,169,61683,0.00054,383.731541,20123.43,,,,,
,170,59488,0.00022,421.827464,20122.84,,,,,
,171,58670,0.00032,454.372773,20123.53,,,,,
,172,57839,0.00024,458.970566,20124.07,,,,,
,173,57653,0,453.558489,20123.58,,,,,
,174,57948,0.00042,399.867592,20123.94,,,,,
,175,59220,0.051898,378.53664,20122.57,,,,,
,176,60735,0.421154,390.148135,20122.31,,,,,
,177,64276,56.526642,392.0786,20121.52,,,,,
,178,67085,280.845639,421.707552,20120.02,,,,,
,179,68555,504.942143,388.434298,20119.78,,,,,
,180,68329,640.190956,378.121669,20126.02,,,,,
,181,63693,675.502442,355.290224,20108.65,,,,,
,182,65418,603.601508,352.464083,20064.27,,,,,
,183,65908,511.244396,361.310295,20061.64,,,,,
,184,65233,327.764499,369.414408,20048.02,,,,,
,185,65825,110.365728,361.485648,20046.2,,,,,
,186,66789,5.220503,295.925551,20037.01,,,,,
,187,66613,0.054255,297.999625,20039.02,,,,,
,188,64572,0.051174,339.560063,20058.11,,,,,
,189,62496,0.00024,347.771668,20080.38,,,,,
,190,61135,0,335.834328,20073.4,,,,,
,191,62593,0.00014,325.410786,20080.17,,,,,
,192,64153,0.00046,322.121927,20111.74,,,,,
,193,61211,0.0004,349.358806,20118.83,,,,,
,194,59120,0.00016,334.912256,20117.43,,,,,
,195,58020,0.0003,352.732526,20118.69,,,,,
,196,56977,0.00016,351.969703,20119.1,,,,,
,197,56534,0.00024,365.57453,20119.14,,,,,
,198,56431,0.00022,345.20332,20119.68,,,,,
,199,56586,0.038149,366.356861,20119.23,,,,,
,200,56126,0.61383,359.139036,20119.77,,,,,
,201,57815,61.631085,342.919673,20119.58,,,,,
,202,59402,294.220604,315.409762,20119.61,,,,,
,203,60951,546.907202,306.311479,20121.02,,,,,
,204,61277,653.617732,286.756007,20120.78,,,,,
,205,58075,692.033615,265.572514,20123.12,,,,,
,206,58679,659.585985,273.304618,20121.41,,,,,
,207,58660,534.996956,317.552798,20113.61,,,,,
,208,57815,361.350061,328.725649,20100.43,,,,,
,209,57196,130.347111,316.970261,20099.83,,,,,
,210,57205,7.762977,317.509127,20099.36,,,,,
,211,57779,0.052053,325.643481,20097.62,,,,,
,212,56918,0.044643,335.175631,20096.23,,,,,
,213,55933,0.00008,337.246196,20095.03,,,,,
,214,55723,0,327.613204,20093.95,,,,,
,215,58160,0.00022,338.003443,20093.84,,,,,
,216,60429,0.00008,349.47652,20093.62,,,,,
,217,57900,0.00008,328.314334,20094.64,,,,,
,218,56027,0.00056,307.269164,20092.57,,,,,
,219,54537,0.00036,294.951656,20092.92,,,,,
,220,53594,0.00038,307.194379,20092.99,,,,,
,221,53069,0.00006,324.809149,20092.35,,,,,
,222,52866,0.00032,274.228356,20093.26,,,,,
,223,52474,0.038838,247.836261,20092.49,,,,,
,224,50577,0.504912,238.2064,20092.73,,,,,
,225,48898,56.861275,233.060963,20093.07,,,,,
,226,48551,249.933654,259.96656,20094.52,,,,,
,227,49800,465.796232,273.738417,20095.38,,,,,
,228,49991,625.872279,259.67881,20097.16,,,,,
,229,49067,696.880359,210.067757,20098.64,,,,,
,230,49495,720.472313,201.713204,20098.14,,,,,
,231,49238,637.220183,192.387294,20099.53,,,,,
,232,49143,434.180819,183.174881,20100.34,,,,,
,233,49740,139.128912,163.013537,20099.19,,,,,
,234,51798,7.81176,167.394719,20098.07,,,,,
,235,53584,0.044489,188.19081,20097.31,,,,,
,236,53513,0.048987,223.101662,20097.32,,,,,
,237,53223,0,242.413084,20096.89,,,,,
,238,53490,0.00014,242.132263,20095.98,,,,,
,239,56055,0.00008,230.80588,20095.02,,,,,
,240,57336,0.00024,241.114401,20094.67,,,,,
,241,54960,0.041408,277.913918,20096.2,,,,,
,242,52981,0.044802,269.637368,20094.53,,,,,
,243,51783,0.04456,275.303784,20109.11,,,,,
,244,51383,0.045052,320.398346,20119.19,,,,,
,245,51756,0.043938,331.751468,20118.48,,,,,
,246,52736,0.034841,316.829481,20117.4,,,,,
,247,54373,0.053048,295.62083,20115.51,,,,,
,248,57012,0.615553,298.023095,20116.18,,,,,
,249,62637,62.297255,289.90908,20114.33,,,,,
,250,66376,289.950716,258.560643,20113.84,,,,,
,251,68071,522.971238,222.328235,20116.73,,,,,
,252,68372,678.385284,229.541739,20120.61,,,,,
,253,63926,765.090325,220.763169,20105.39,,,,,
